Production date,Plant,Work center,Material,Material Description,Production in PHCs,,
1/12/2024,3006,PRD-01,100-130,COCA-COLA RB 250 ML,"9,438",,
1/12/2024,3003,PRD-01,131-400,DASANI WATER PET 500ML 1X12,"27,893",,
1/12/2024,3007,PRD-01,131-400,DASANI WATER PET 500ML 1X12,"29,578",,
1/12/2024,3003,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,117,,
1/12/2024,3003,PRD-01,291-430,SPRITE PET500  1X12,200,,
1/12/2024,3002,PRD-02,101-418,COCA-COLA 500ML12PET PROMO,"71,872",,
1/12/2024,3006,PRD-02,101-730,COCA COLA BIB POSTMIX 20L,65,,
1/12/2024,3004,PRD-02,104-302,COCA-COLA 1.0L 6BPET PROMO,"98,062",,
1/12/2024,3005,PRD-02,108-400,COCA-COLA  PET 750ML 1X6,"38,095",,
1/12/2024,3011,PRD-02,193-575,FANTA ORANGE PET1.5LT UPGRADE,"15,987",,
1/12/2024,3003,PRD-02,290-130,SPRITE RB250,"8,580",,
1/12/2024,3005,PRD-02,293-530,SPRITE LEMON PET 1.5L /6,122,,
1/12/2024,3005,PRD-02,298-400,SPRITE  PET 750ML 1X6,"19,048",,
1/12/2024,3011,PRD-02,308-400,SPRITE LEMON MINT PET1L 1X6,"7,172",,
1/12/2024,3005,PRD-03,104-320,CC RPET1LT 1X6 PROMO,"19,219",,
1/12/2024,3006,PRD-03,104-320,CC RPET1LT 1X6 PROMO,"17,909",,
1/12/2024,3006,PRD-03,291-430,SPRITE PET500  1X12,"17,347",,
1/12/2024,3003,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"67,353",,
1/12/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"6,942",,
1/12/2024,3005,PRD-04,103-535,COCA-COLA 1.5L 6BPET  PROMO,"114,400",,
1/12/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"37,284",,
1/12/2024,3003,PRD-05,100-170,COCA-COLA RB250ML 1X24 CONV.,"19,422",,
1/12/2024,3002,PRD-05,104-302,COCA-COLA 1.0L 6BPET PROMO,"88,889",,
1/12/2024,3002,PRD-06,104-130,COCA-COLA PET 2.25LTR,"55,328",,
1/12/2024,3003,PRD-06,104-302,COCA-COLA 1.0L 6BPET PROMO,"5,897",,
1/12/2024,3007,PRD-06,104-320,CC RPET1LT 1X6 PROMO,"50,669",,
1/12/2024,3003,PRD-06,193-575,FANTA ORANGE PET1.5LT UPGRADE,137,,
1/12/2024,3002,PRD-07,291-430,SPRITE PET500  1X12,"33,085",,
1/12/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"25,350",,
1/12/2024,3002,PRD-10,101-730,COCA COLA BIB POSTMIX 20L,364,,
1/12/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"97,812",,
1/12/2024,3004,TPRD-1,294-600,SPRITE CAN250ML 1X12,"49,972",,
1/13/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"27,534",,
1/13/2024,3006,PRD-01,100-130,COCA-COLA RB 250 ML,"12,402",,
1/13/2024,3011,PRD-01,103-541,COCA-COLA  PET 1.5L /6,"147,290",,
1/13/2024,3003,PRD-01,131-400,DASANI WATER PET 500ML 1X12,"16,848",,
1/13/2024,3007,PRD-01,131-400,DASANI WATER PET 500ML 1X12,"32,198",,
1/13/2024,3002,PRD-02,101-418,COCA-COLA 500ML12PET PROMO,"2,350",,
1/13/2024,3002,PRD-02,103-541,COCA-COLA  PET 1.5L /6,"65,923",,
1/13/2024,3004,PRD-02,104-302,COCA-COLA 1.0L 6BPET PROMO,"58,750",,
1/13/2024,3005,PRD-02,108-400,COCA-COLA  PET 750ML 1X6,"56,277",,
1/13/2024,3011,PRD-02,193-575,FANTA ORANGE PET1.5LT UPGRADE,"35,510",,
